PLAYER,TEAM,AGE,FGM,FGA,FGPercent
Rudy Gobert,UTA,25,0.0,0.0,50.0
Russell Westbrook,OKC,29,0.8,2.4,34.6
Ryan Anderson,HOU,29,0.5,1.2,41.6
Ryan Arcidiacono,CHI,24,0.3,0.5,55.6
Salah Mejri,DAL,31,0.0,0.0,0.0
Sam Dekker,LAC,23,0.1,0.4,21.4
Scotty Hopson,DAL,28,0.0,0.0,0.0
Sean Kilpatrick,CHI,28,0.4,1.6,25.0
Semi Ojeleye,BOS,23,0.4,1.1,36.1
Serge Ibaka,TOR,28,0.7,1.6,44.6
Shabazz Muhammad,MIL,25,0.2,0.4,43.8
Shabazz Napier,POR,26,0.8,2.0,39.6
Shane Larkin,BOS,25,0.3,0.9,34.9
Shaquille Harrison,PHX,24,0.2,0.4,37.5
Shaun Livingston,GSW,32,0.0,0.1,50.0
Shelvin Mack,ORL,27,0.2,0.7,28.9
Sindarius Thornwell,LAC,23,0.3,0.6,41.5
Skal Labissiere,SAC,22,0.2,0.4,36.0
Solomon Hill,NOP,27,0.1,0.3,50.0
Spencer Dinwiddie,BKN,24,0.5,1.6,33.6
Stanley Johnson,DET,21,0.6,1.8,32.5
Stephen Curry,GSW,30,1.5,3.3,43.8
Sterling Brown,MIL,23,0.3,0.9,36.4
Steven Adams,OKC,24,0.0,0.0,0.0
T.J. McConnell,PHI,26,0.2,0.5,42.1
TJ Leaf,IND,20,0.2,0.4,41.2
TJ Warren,PHX,24,0.4,1.3,27.7
Taj Gibson,MIN,32,0.2,0.6,31.9
Tarik Black,HOU,26,0.0,0.0,0.0
Taurean Prince,ATL,24,1.1,2.9,39.5
Terrance Ferguson,OKC,19,0.5,1.2,39.7
Terrence Ross,ORL,27,1.0,2.0,48.9
Terry Rozier,BOS,24,0.7,1.9,36.8
Thabo Sefolosha,UTA,33,0.8,2.0,41.6
Thaddeus Young,IND,29,0.5,1.2,39.4
Thomas Bryant,LAL,20,0.0,0.4,0.0
Thon Maker,MIL,21,0.4,0.9,40.0
Tim Frazier,WAS,27,0.3,0.6,41.2
Tim Hardaway Jr.,NYK,26,1.1,2.5,42.8
Tim Quarterman,HOU,23,-,-,-
Timofey Mozgov,BKN,31,0.2,0.6,29.4
Timothe Luwawu-Cabarrot,PHI,22,0.5,1.5,31.1
Tobias Harris,LAC,25,0.9,2.3,39.3
Tomas Satoransky,WAS,26,0.4,0.9,42.4
Tony Allen,NOP,36,0.2,0.6,41.7
Tony Bradley,UTA,20,0.0,0.0,0.0
Tony Parker,SAS,35,0.4,1.2,30.0
Tony Snell,MIL,26,0.7,1.8,38.9
Torrey Craig,DEN,27,0.4,0.9,45.2
Travis Wear,LAL,27,0.8,1.4,55.6
Treveon Graham,CHA,24,0.4,0.9,43.6
Trevor Ariza,HOU,32,1.7,4.0,41.7
Trevor Booker,IND,30,0.1,0.2,28.6
Trey Burke,NYK,25,1.1,1.8,61.8
Trey Lyles,DEN,22,0.6,1.4,41.1
Trey McKinney-Jones,IND,27,-,-,-
Tristan Thompson,CLE,27,0.0,0.0,0.0
Troy Daniels,PHX,26,1.1,2.4,45.1
Troy Williams,NYK,23,0.2,0.6,33.3
Tyler Cavanaugh,ATL,24,0.7,1.6,42.4
Tyler Dorsey,ATL,22,0.7,2.0,33.3
Tyler Ennis,LAL,23,0.2,0.4,50.0
Tyler Johnson,MIA,25,1.0,2.7,38.8
Tyler Lydon,DEN,21,0.0,0.0,0.0
Tyler Ulis,PHX,22,0.2,0.7,26.5
Tyler Zeller,MIL,28,0.2,0.5,38.7
Tyreke Evans,MEM,28,0.8,2.1,40.2
Tyrone Wallace,LAC,23,0.3,0.8,40.0
Tyson Chandler,PHX,35,0.0,0.0,0.0
Tyus Jones,MIN,21,0.3,0.9,35.7
Udonis Haslem,MIA,37,0.1,0.3,25.0
Vander Blue,LAL,25,0.0,0.0,0.0
Victor Oladipo,IND,25,1.0,2.3,44.2
Vince Carter,SAC,41,0.4,1.1,33.9
Vincent Hunter,MEM,23,0.0,0.0,0.0
Wade Baldwin IV,POR,22,0.0,0.0,0.0
Walter Lemon Jr.,NOP,25,0.2,0.2,100
Wayne Ellington,MIA,30,1.3,3.1,40.9
Wayne Selden,MEM,23,0.5,1.3,36.2
Wes Iwundu,ORL,23,0.1,0.6,25.8
Wesley Johnson,LAC,30,0.8,2.2,36.7
Wesley Matthews,DAL,31,1.2,3.0,41.0
Will Barton,DEN,27,0.6,1.8,33.8
Willie Cauley-Stein,SAC,24,0.1,0.3,52.6
Willie Reed,DET,27,0.0,0.0,100
Willy Hernangomez,CHA,23,0.0,0.1,33.3
Wilson Chandler,DEN,30,0.6,1.7,35.9
