PLAYER,TEAM,AGE,FGM,FGA,FGPercent
Treveon Graham,CHA,24,0.3,0.7,40.9
Trevor Ariza,HOU,32,1.0,2.9,32.4
Trevor Booker,IND,30,0.1,0.2,30.8
Trey Burke,NYK,25,0.7,1.8,36.8
Trey Lyles,DEN,22,0.7,1.7,37.5
Trey McKinney-Jones,IND,27,0.0,0.0,0.0
Tristan Thompson,CLE,27,0.0,0.0,0.0
Troy Daniels,PHX,26,1.3,3.6,36.5
Troy Williams,NYK,23,0.4,1.3,28.6
Tyler Cavanaugh,ATL,24,0.2,0.8,30.0
Tyler Dorsey,ATL,22,0.6,1.8,35.2
Tyler Ennis,LAL,23,0.0,0.6,7.4
Tyler Johnson,MIA,25,0.9,2.6,36.0
Tyler Lydon,DEN,21,0.0,0.0,0.0
Tyler Ulis,PHX,22,0.4,1.3,31.0
Tyler Zeller,MIL,28,0.0,0.0,0.0
Tyreke Evans,MEM,28,1.8,4.4,39.6
Tyrone Wallace,LAC,23,0.1,0.4,20.0
Tyson Chandler,PHX,35,0.0,0.0,0.0
Tyus Jones,MIN,21,0.2,0.6,36.0
Udonis Haslem,MIA,37,0.0,0.3,0.0
Vander Blue,LAL,25,0.0,0.4,0.0
Victor Oladipo,IND,25,1.6,4.7,34.5
Vince Carter,SAC,41,0.7,1.9,36.3
Vincent Hunter,MEM,23,0.0,0.0,0.0
Wade Baldwin IV,POR,22,0.3,0.3,100
Walter Lemon Jr.,NOP,25,0.0,0.0,0.0
Wayne Ellington,MIA,30,1.7,4.6,37.8
Wayne Selden,MEM,23,1.0,2.2,43.6
Wes Iwundu,ORL,23,0.0,0.2,7.7
Wesley Johnson,LAC,30,0.3,0.8,34.6
Wesley Matthews,DAL,31,1.3,3.7,33.9
Will Barton,DEN,27,1.3,3.4,38.0
Willie Cauley-Stein,SAC,24,0.0,0.1,40.0
Willie Reed,DET,27,0.0,0.0,0.0
Willy Hernangomez,CHA,23,0.0,0.2,28.6
