PLAYER,TEAM,AGE,DIFFPercent
Jarell Eddie,CHI,26,-1.2
Josh Smith,NOP,32,-8.9
Wade Baldwin IV,POR,22,2.0
Mangok Mathiang,CHA,25,-1.3
Vander Blue,LAL,25,-15.0
Georges Niang,UTA,24,-12.1
Gian Clavell,DAL,24,-16.4
Joe Young,IND,25,9.6
Abdel Nader,BOS,24,5.2
Jamal Crawford,MIN,38,11.9
Udonis Haslem,MIA,37,-4.5
Sean Kilpatrick,CHI,28,14.1
Damyean Dotson,NYK,23,3.1
Rodney Purvis,ORL,24,0.0
Furkan Korkmaz,PHI,20,19.4
Richard Jefferson,DEN,37,-1.2
Demetrius Jackson,PHI,23,7.1
Damien Wilkins,IND,38,-0.4
Alfonzo McKinnie,TOR,25,-5.3
Alex Poythress,IND,24,1.5
Andrew White III,ATL,24,4.9
Jameel Warney,DAL,24,44.5
Shabazz Muhammad,MIL,25,13.8
Lorenzo Brown,TOR,27,-15.2
Damian Jones,GSW,22,-12.9
Jalen Jones,DAL,24,22.8
Aaron Brooks,MIN,33,9.3
Julyan Stone,CHA,29,-11.7
Chris McCullough,WAS,23,-10.3
Nick Collison,OKC,37,1.2
Jake Layman,POR,24,5.9
Malachi Richardson,TOR,22,4.9
Larry Drew II,NOP,28,28.6
Xavier Munford,MIL,25,5.5
Antonius Cleveland,ATL,24,14.2
Jeff Withey,DAL,28,-11.4
Marcus Georges-Hunt,MIN,24,2.8
Quincy Pondexter,CHI,30,-5.2
Thomas Bryant,LAL,20,22.8
Daniel Hamilton,OKC,22,22.0
Ryan Arcidiacono,CHI,24,15.6
Kyle Singler,OKC,29,-9.3
Kay Felder,DET,23,-10.5
Bobby Brown,HOU,33,11.8
Cole Aldrich,MIN,29,23.2
MarShon Brooks,MEM,29,-54.2
Charles Cooke,NOP,23,-13.6
Tim Quarterman,HOU,23,-44.2
Anthony Brown,MIN,25,54.5
Erik McCree,UTA,24,53.6
Ben Moore,IND,22,5.4
Marcus Paige,CHA,24,2.4
Vincent Hunter,MEM,23,-52.1
Tyler Lydon,DEN,21,-45.9
Gordon Hayward,BOS,28,51.4
Jabari Bird,BOS,23,-12.2
Kadeem Allen,BOS,25,-2.6
Tony Bradley,UTA,20,-11.8
London Perrantes,CLE,23,16.7
Jacob Pullen,PHI,28,55.6
Matt Williams Jr.,MIA,24,-54.7
David Stockton,UTA,26,-44.7
Nate Wolters,UTA,26,53.1
Nicolas Brussino,ATL,25,35.0
Luis Montero,DET,24,-45.5
RJ Hunter,HOU,24,54.9
